Category,Metric,L1m L1p L1mask,L1m L1p L2mask,L1m L2p L1mask,L1m L2p L2mask,L2m L1p L1mask,L2m L1p L2mask,L2m L2p L1mask,L2m L2p L2mask
animals,avg CLIP similarity,0.9794921875,0.96875,0.97998046875,0.96923828125,0.9794921875,0.9677734375,0.97900390625,0.96826171875
art_work,avg CLIP similarity,0.97412109375,0.9638671875,0.9736328125,0.9619140625,0.97314453125,0.96240234375,0.97314453125,0.9638671875
building_city_view,avg CLIP similarity,0.97314453125,0.94775390625,0.97314453125,0.9501953125,0.9697265625,0.951171875,0.96826171875,0.958984375
building_countryside_view,avg CLIP similarity,0.97705078125,0.958984375,0.9775390625,0.96630859375,0.97705078125,0.9658203125,0.9765625,0.96435546875
human_full_body,avg CLIP similarity,0.98583984375,0.9697265625,0.98486328125,0.9609375,0.984375,0.96728515625,0.9755859375,0.966796875
human_head,avg CLIP similarity,0.97216796875,0.96484375,0.97314453125,0.94482421875,0.974609375,0.96728515625,0.97509765625,0.96630859375
human_upper_body,avg CLIP similarity,0.97412109375,0.96875,0.97412109375,0.96826171875,0.9736328125,0.96826171875,0.97412109375,0.96728515625
interior_design,avg CLIP similarity,0.98291015625,0.974609375,0.9833984375,0.9755859375,0.98388671875,0.97705078125,0.98291015625,0.974609375
land_scape,avg CLIP similarity,0.97802734375,0.966796875,0.9794921875,0.962890625,0.97900390625,0.96533203125,0.9794921875,0.96826171875
other_objects,avg CLIP similarity,0.98095703125,0.9677734375,0.97802734375,0.96728515625,0.97998046875,0.97021484375,0.97998046875,0.97021484375
