Category,Metric,L1m L1p L1mask,L1m L1p L2mask,L1m L2p L1mask,L1m L2p L2mask,L2m L1p L1mask,L2m L1p L2mask,L2m L2p L1mask,L2m L2p L2mask
animals,avg LPIPS,0.8676781316287816,0.7722364666871726,0.8691795017104595,0.7826088472269476,0.8664028813131154,0.7801937278360128,0.8689278709702194,0.7708917727693916
art_work,avg LPIPS,0.8855035749131015,0.7892755329076733,0.879648331073778,0.7935736653528043,0.8812101843633822,0.7938039078776326,0.8833149505513055,0.7915853985452226
building_city_view,avg LPIPS,0.8893420854139895,0.7894652400697981,0.8843299517674106,0.7829084623427618,0.8845030023228555,0.796591808043775,0.8833761270202342,0.7898005222280821
building_countryside_view,avg LPIPS,0.8837049674581398,0.8082092302766714,0.8804244969717481,0.8211513400416482,0.8904061938890002,0.8134448257359591,0.889058876443993,0.8092965984886342
human_full_body,avg LPIPS,0.961083798483014,0.8706776987761259,0.9590791160240768,0.8645396664738655,0.9490907903760673,0.8689558349549771,0.9478922955691814,0.8691728699952364
human_head,avg LPIPS,0.8378937922418117,0.7767244800925255,0.8387275174260139,0.7533296078443528,0.8547068148851394,0.786441458761692,0.8548722252249717,0.78613121509552
human_upper_body,avg LPIPS,0.8863098602741957,0.7999482087790966,0.8899062886834145,0.8051845688372851,0.8896998938173055,0.7911862425506115,0.8890623264014721,0.7969857141375541
interior_design,avg LPIPS,0.8982969792559743,0.7914284244179726,0.9002076607197523,0.8007721520960331,0.9025637926533818,0.8227451328188181,0.8950921731069684,0.805077688768506
land_scape,avg LPIPS,0.874633769758723,0.780263267796148,0.8776527163995937,0.7499957457184792,0.8800416036762975,0.7764507921581918,0.8751457997343757,0.7722835002297705
other_objects,avg LPIPS,0.8709356376102992,0.8110884752124548,0.8677367043282305,0.7958927696304662,0.8708485659744059,0.7930935245539461,0.8730709192476103,0.7979527588401522
