Category,Metric,L1m L1p L1mask,L1m L1p L2mask,L1m L2p L1mask,L1m L2p L2mask,L2m L1p L1mask,L2m L1p L2mask,L2m L2p L1mask,L2m L2p L2mask
animals,avg MD,32.03948508948088,41.72322626411915,32.26388192921877,33.25118864327669,33.1827489733696,33.606584534049034,34.805004097521305,41.26350137591362
art_work,avg MD,30.297706792520923,29.97139783238256,32.16945104820784,28.07371687334637,33.49737820514413,32.49753027184065,31.863239332687023,37.96191550410071
building_city_view,avg MD,33.133202041067726,43.20462279203461,24.42746357801484,40.8628349420501,24.900754242408567,51.619627603670445,27.80369085218848,40.18612452251156
building_countryside_view,avg MD,51.5995735927504,43.352977888924734,44.693877959737975,40.486057174449066,37.08256183351789,40.54863241740635,52.839681250708445,40.00087951640693
human_full_body,avg MD,26.090867668390278,22.23715654015541,17.4114853143692,14.373781368136406,25.691341876983643,13.648875296115875,26.371185928583145,13.200316071510317
human_head,avg MD,32.70519267811495,26.888842021717743,31.435356813318588,30.088724893682144,37.49412654427921,25.28579655815573,34.24207429324879,25.478132149752447
human_upper_body,avg MD,32.80495548248291,31.955175558725998,33.454375902811684,32.532868438296845,34.32098274760776,34.25898379749722,34.93421612845527,35.07334989971585
interior_design,avg MD,21.904810569286347,32.28194328069687,23.225983951091766,25.585056431293488,23.138245782852174,25.543735971450804,26.17185918331146,26.149548830986024
land_scape,avg MD,39.53183188931696,32.7020353448802,38.9689160051017,43.8342023717946,40.93279383100312,37.48658241074661,39.179797484956936,45.991171179146605
other_objects,avg MD,39.47566714110198,42.18981733145537,38.757239549248304,45.247841751133954,41.76854270917398,44.9659561669385,42.39018544885848,43.58470145861308
