Category,Metric,L1m L1p L1mask,L1m L1p L2mask,L1m L2p L1mask,L1m L2p L2mask,L2m L1p L1mask,L2m L1p L2mask,L2m L2p L1mask,L2m L2p L2mask
animals,avg CLIP similarity,0.9794921875,0.96875,0.97998046875,0.96923828125,0.9794921875,0.9677734375,0.97900390625,0.96826171875
human_upper_body,avg CLIP similarity,0.97412109375,0.96875,0.97412109375,0.96826171875,0.9736328125,0.96826171875,0.97412109375,0.96728515625
human_head,avg CLIP similarity,0.97216796875,0.96484375,0.97314453125,0.94482421875,0.974609375,0.96728515625,0.97509765625,0.96630859375
human_full_body,avg CLIP similarity,0.98583984375,0.9697265625,0.98486328125,0.9609375,0.984375,0.96728515625,0.9755859375,0.966796875
land_scape,avg CLIP similarity,0.97802734375,0.966796875,0.9794921875,0.962890625,0.97900390625,0.96533203125,0.9794921875,0.96826171875
building_countryside_view,avg CLIP similarity,0.97705078125,0.958984375,0.9775390625,0.96630859375,0.97705078125,0.9658203125,0.9765625,0.96435546875
interior_design,avg CLIP similarity,0.98291015625,0.974609375,0.9833984375,0.9755859375,0.98388671875,0.97705078125,0.98291015625,0.974609375
art_work,avg CLIP similarity,0.97412109375,0.9638671875,0.9736328125,0.9619140625,0.97314453125,0.96240234375,0.97314453125,0.9638671875
other_objects,avg CLIP similarity,0.98095703125,0.9677734375,0.97802734375,0.96728515625,0.97998046875,0.97021484375,0.97998046875,0.97021484375
building_city_view,avg CLIP similarity,0.97314453125,0.94775390625,0.97314453125,0.9501953125,0.9697265625,0.951171875,0.96826171875,0.958984375
building_city_view,avg LPIPS,0.8893420854139895,0.7894652400697981,0.8843299517674106,0.7829084623427618,0.8845030023228555,0.796591808043775,0.8833761270202342,0.7898005222280821
land_scape,avg LPIPS,0.874633769758723,0.780263267796148,0.8776527163995937,0.7499957457184792,0.8800416036762975,0.7764507921581918,0.8751457997343757,0.7722835002297705
interior_design,avg LPIPS,0.8982969792559743,0.7914284244179726,0.9002076607197523,0.8007721520960331,0.9025637926533818,0.8227451328188181,0.8950921731069684,0.805077688768506
art_work,avg LPIPS,0.8855035749131015,0.7892755329076733,0.879648331073778,0.7935736653528043,0.8812101843633822,0.7938039078776326,0.8833149505513055,0.7915853985452226
human_full_body,avg LPIPS,0.961083798483014,0.8706776987761259,0.9590791160240768,0.8645396664738655,0.9490907903760673,0.8689558349549771,0.9478922955691814,0.8691728699952364
other_objects,avg LPIPS,0.8709356376102992,0.8110884752124548,0.8677367043282305,0.7958927696304662,0.8708485659744059,0.7930935245539461,0.8730709192476103,0.7979527588401522
human_head,avg LPIPS,0.8378937922418117,0.7767244800925255,0.8387275174260139,0.7533296078443528,0.8547068148851394,0.786441458761692,0.8548722252249717,0.78613121509552
animals,avg LPIPS,0.8676781316287816,0.7722364666871726,0.8691795017104595,0.7826088472269476,0.8664028813131154,0.7801937278360128,0.8689278709702194,0.7708917727693916
human_upper_body,avg LPIPS,0.8863098602741957,0.7999482087790966,0.8899062886834145,0.8051845688372851,0.8896998938173055,0.7911862425506115,0.8890623264014721,0.7969857141375541
building_countryside_view,avg LPIPS,0.8837049674581398,0.8082092302766714,0.8804244969717481,0.8211513400416482,0.8904061938890002,0.8134448257359591,0.889058876443993,0.8092965984886342
land_scape,avg MD,39.53183188931696,32.7020353448802,38.9689160051017,43.8342023717946,40.93279383100312,37.48658241074661,39.179797484956936,45.991171179146605
interior_design,avg MD,21.904810569286347,32.28194328069687,23.225983951091766,25.585056431293488,23.138245782852174,25.543735971450804,26.17185918331146,26.149548830986024
human_full_body,avg MD,26.090867668390278,22.23715654015541,17.4114853143692,14.373781368136406,25.691341876983643,13.648875296115875,26.371185928583145,13.200316071510317
human_head,avg MD,32.70519267811495,26.888842021717743,31.435356813318588,30.088724893682144,37.49412654427921,25.28579655815573,34.24207429324879,25.478132149752447
building_countryside_view,avg MD,51.5995735927504,43.352977888924734,44.693877959737975,40.486057174449066,37.08256183351789,40.54863241740635,52.839681250708445,40.00087951640693
building_city_view,avg MD,33.133202041067726,43.20462279203461,24.42746357801484,40.8628349420501,24.900754242408567,51.619627603670445,27.80369085218848,40.18612452251156
art_work,avg MD,30.297706792520923,29.97139783238256,32.16945104820784,28.07371687334637,33.49737820514413,32.49753027184065,31.863239332687023,37.96191550410071
animals,avg MD,32.03948508948088,41.72322626411915,32.26388192921877,33.25118864327669,33.1827489733696,33.606584534049034,34.805004097521305,41.26350137591362
human_upper_body,avg MD,32.80495548248291,31.955175558725998,33.454375902811684,32.532868438296845,34.32098274760776,34.25898379749722,34.93421612845527,35.07334989971585
other_objects,avg MD,39.47566714110198,42.18981733145537,38.757239549248304,45.247841751133954,41.76854270917398,44.9659561669385,42.39018544885848,43.58470145861308
