Category,Metric,Value,Eval_Root
art_work,avg LPIPS,0.7915853985452226,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
land_scape,avg LPIPS,0.7722835002297705,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
building_city_view,avg LPIPS,0.7898005222280821,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
building_countryside_view,avg LPIPS,0.8092965984886342,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
animals,avg LPIPS,0.7708917727693916,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
human_head,avg LPIPS,0.78613121509552,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
human_upper_body,avg LPIPS,0.7969857141375541,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
human_full_body,avg LPIPS,0.8691728699952364,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
interior_design,avg LPIPS,0.805077688768506,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
other_objects,avg LPIPS,0.7979527588401522,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
art_work,avg CLIP similarity,0.9638671875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
land_scape,avg CLIP similarity,0.96826171875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
building_city_view,avg CLIP similarity,0.958984375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
building_countryside_view,avg CLIP similarity,0.96435546875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
animals,avg CLIP similarity,0.96826171875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
human_head,avg CLIP similarity,0.96630859375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
human_upper_body,avg CLIP similarity,0.96728515625,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
human_full_body,avg CLIP similarity,0.966796875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
interior_design,avg CLIP similarity,0.974609375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
other_objects,avg CLIP similarity,0.97021484375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=False
art_work,avg LPIPS,0.8833149505513055,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
land_scape,avg LPIPS,0.8751457997343757,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
building_city_view,avg LPIPS,0.8833761270202342,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
building_countryside_view,avg LPIPS,0.889058876443993,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
animals,avg LPIPS,0.8689278709702194,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
human_head,avg LPIPS,0.8548722252249717,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
human_upper_body,avg LPIPS,0.8890623264014721,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
human_full_body,avg LPIPS,0.9478922955691814,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
interior_design,avg LPIPS,0.8950921731069684,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
other_objects,avg LPIPS,0.8730709192476103,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
art_work,avg CLIP similarity,0.97314453125,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
land_scape,avg CLIP similarity,0.9794921875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
building_city_view,avg CLIP similarity,0.96826171875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
building_countryside_view,avg CLIP similarity,0.9765625,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
animals,avg CLIP similarity,0.97900390625,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
human_head,avg CLIP similarity,0.97509765625,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
human_upper_body,avg CLIP similarity,0.97412109375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
human_full_body,avg CLIP similarity,0.9755859375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
interior_design,avg CLIP similarity,0.98291015625,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
other_objects,avg CLIP similarity,0.97998046875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=False_L1mask=True
art_work,avg LPIPS,0.7938039078776326,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
land_scape,avg LPIPS,0.7764507921581918,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
building_city_view,avg LPIPS,0.796591808043775,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
building_countryside_view,avg LPIPS,0.8134448257359591,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
animals,avg LPIPS,0.7801937278360128,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
human_head,avg LPIPS,0.786441458761692,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
human_upper_body,avg LPIPS,0.7911862425506115,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
human_full_body,avg LPIPS,0.8689558349549771,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
interior_design,avg LPIPS,0.8227451328188181,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
other_objects,avg LPIPS,0.7930935245539461,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
art_work,avg CLIP similarity,0.96240234375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
land_scape,avg CLIP similarity,0.96533203125,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
building_city_view,avg CLIP similarity,0.951171875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
building_countryside_view,avg CLIP similarity,0.9658203125,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
animals,avg CLIP similarity,0.9677734375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
human_head,avg CLIP similarity,0.96728515625,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
human_upper_body,avg CLIP similarity,0.96826171875,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
human_full_body,avg CLIP similarity,0.96728515625,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
interior_design,avg CLIP similarity,0.97705078125,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
other_objects,avg CLIP similarity,0.97021484375,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=False
art_work,avg LPIPS,0.8812101843633822,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=True
land_scape,avg LPIPS,0.8800416036762975,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=True
building_city_view,avg LPIPS,0.8845030023228555,../L1_L2_experiments/drag_diffusion_res_80_0.7_0.01_3_L1m=False_L1p=True_L1mask=True
