Category,Metric,Value,Eval_Root
art_work,avg LPIPS,0.9570141631311604,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
land_scape,avg LPIPS,0.9434705016372557,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
building_city_view,avg LPIPS,0.9411492926024255,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
building_countryside_view,avg LPIPS,0.9410728266124021,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
animals,avg LPIPS,0.9684890823438763,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
human_head,avg LPIPS,0.985976642742753,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
human_upper_body,avg LPIPS,0.9846414970234036,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
human_full_body,avg LPIPS,0.9836858467198908,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
interior_design,avg LPIPS,0.9612909033428878,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
other_objects,avg LPIPS,0.9723871711774597,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
art_work,avg MD,51.90619845722997,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
land_scape,avg MD,53.37629259043727,../freedrag_experiments/freedrag_diffusion_res_80_0.7_0.01_3_reduce_dims=(0)_n_step=300_d_max=1.5_l_expected=0.15_L1m=False_L1p=True_L1mask=True
